"method","variable","statistic","value","iteration"
"VB","phi","Variance",0.0088348306741514,16
"VB","X[T+1]","Variance",0.0636803605934687,16
"VB","sigma^2","Mean",0.0124008679634215,17
"VB","mu","Mean",-0.491952980047151,17
"VB","phi","Mean",0.665202793629541,17
"VB","X[T+1]","Mean",-0.489587517503566,17
"VB","sigma^2","Variance",4.04238616379946e-05,17
"VB","mu","Variance",0.00413856242944852,17
"VB","phi","Variance",0.0385756840878753,17
"VB","X[T+1]","Variance",0.0574546636148238,17
"VB","sigma^2","Mean",0.0136640763782714,18
"VB","mu","Mean",-0.397647040200258,18
"VB","phi","Mean",0.666945201657319,18
"VB","X[T+1]","Mean",-0.386547187488053,18
"VB","sigma^2","Variance",7.19863849387961e-05,18
"VB","mu","Variance",0.00487288779517041,18
"VB","phi","Variance",0.0178297081814831,18
"VB","X[T+1]","Variance",0.0630562047767549,18
"VB","sigma^2","Mean",0.0131767305164922,19
"VB","mu","Mean",-0.63936962167426,19
"VB","phi","Mean",0.87569959562359,19
"VB","X[T+1]","Mean",-0.634942013779665,19
"VB","sigma^2","Variance",5.54006644310819e-05,19
"VB","mu","Variance",0.00427338701520612,19
"VB","phi","Variance",0.00183665569413665,19
"VB","X[T+1]","Variance",0.113709617930967,19
"VB","sigma^2","Mean",0.0125808977270645,20
"VB","mu","Mean",-0.512660190259602,20
"VB","phi","Mean",0.788420860353123,20
"VB","X[T+1]","Mean",-0.544828608745457,20
"VB","sigma^2","Variance",5.40380745318824e-05,20
"VB","mu","Variance",0.0052474377957754,20
"VB","phi","Variance",0.00811744911620613,20
"VB","X[T+1]","Variance",0.0700335027116308,20
