"logscore","variable","method","prior","S","h","id"
-0.942973437906787,"a","MCMC","None",10,15,1065
-596.462879955694,"d","MCMC","None",10,15,1065
-0.988486563947952,"a","VB-Offline","None",10,16,1065
-4.36316025963057,"d","VB-Offline","None",10,16,1065
-0.988486563947952,"a","VB-Stream","None",10,16,1065
-4.36316025963057,"d","VB-Stream","None",10,16,1065
-1.24232883118213,"a","MCMC","None",10,16,1065
-Inf,"d","MCMC","None",10,16,1065
-0.950356147454346,"a","VB-Offline","None",10,17,1065
-4.27797990464593,"d","VB-Offline","None",10,17,1065
-0.950356147454346,"a","VB-Stream","None",10,17,1065
-4.27797990464593,"d","VB-Stream","None",10,17,1065
-0.949359306995179,"a","MCMC","None",10,17,1065
-Inf,"d","MCMC","None",10,17,1065
-0.94972986579884,"a","VB-Offline","None",10,18,1065
-4.41414341374857,"d","VB-Offline","None",10,18,1065
-0.94972986579884,"a","VB-Stream","None",10,18,1065
-4.41414341374857,"d","VB-Stream","None",10,18,1065
-0.955621019645852,"a","MCMC","None",10,18,1065
-Inf,"d","MCMC","None",10,18,1065
-0.947523129414833,"a","VB-Offline","None",10,19,1065
-4.33296842480251,"d","VB-Offline","None",10,19,1065
-0.947523129414833,"a","VB-Stream","None",10,19,1065
-4.33296842480251,"d","VB-Stream","None",10,19,1065
-0.923124211253959,"a","MCMC","None",10,19,1065
-Inf,"d","MCMC","None",10,19,1065
-0.979190667261723,"a","VB-Offline","None",10,20,1065
-4.72168016295039,"d","VB-Offline","None",10,20,1065
-0.979190667261723,"a","VB-Stream","None",10,20,1065
-4.72168016295039,"d","VB-Stream","None",10,20,1065
-1.16737294462058,"a","MCMC","None",10,20,1065
-Inf,"d","MCMC","None",10,20,1065
-1.02031810786262,"a","VB-Offline","None",10,21,1065
-4.36143015743911,"d","VB-Offline","None",10,21,1065
-1.02031810786262,"a","VB-Stream","None",10,21,1065
-4.36143015743911,"d","VB-Stream","None",10,21,1065
-1.51759553805251,"a","MCMC","None",10,21,1065
-Inf,"d","MCMC","None",10,21,1065
-1.01689841308161,"a","VB-Offline","None",10,22,1065
-3.68229537812432,"d","VB-Offline","None",10,22,1065
-1.01689841308161,"a","VB-Stream","None",10,22,1065
-3.68229537812432,"d","VB-Stream","None",10,22,1065
-1.46686182616076,"a","MCMC","None",10,22,1065
-Inf,"d","MCMC","None",10,22,1065
-0.953045002779898,"a","VB-Offline","None",10,23,1065
-2.69337596625504,"d","VB-Offline","None",10,23,1065
-0.953045002779898,"a","VB-Stream","None",10,23,1065
-2.69337596625504,"d","VB-Stream","None",10,23,1065
-0.963405904446482,"a","MCMC","None",10,23,1065
-Inf,"d","MCMC","None",10,23,1065
-0.952735314798273,"a","VB-Offline","None",10,24,1065
-2.76127115994087,"d","VB-Offline","None",10,24,1065
-0.952735314798273,"a","VB-Stream","None",10,24,1065
-2.76127115994087,"d","VB-Stream","None",10,24,1065
-0.970898703455019,"a","MCMC","None",10,24,1065
-Inf,"d","MCMC","None",10,24,1065
-0.953674084461977,"a","VB-Offline","None",10,25,1065
-2.89008997861069,"d","VB-Offline","None",10,25,1065
-0.953674084461977,"a","VB-Stream","None",10,25,1065
-2.89008997861069,"d","VB-Stream","None",10,25,1065
-0.970898703458306,"a","MCMC","None",10,25,1065
-Inf,"d","MCMC","None",10,25,1065
-0.964281543002323,"a","VB-Offline","None",10,26,1065
-2.78083050324391,"d","VB-Offline","None",10,26,1065
-0.964281543002323,"a","VB-Stream","None",10,26,1065
-2.78083050324391,"d","VB-Stream","None",10,26,1065
-1.04549639455549,"a","MCMC","None",10,26,1065
-Inf,"d","MCMC","None",10,26,1065
-1.03603933078406,"a","VB-Offline","None",10,27,1065
-2.8381437924765,"d","VB-Offline","None",10,27,1065
-1.03603933078406,"a","VB-Stream","None",10,27,1065
-2.8381437924765,"d","VB-Stream","None",10,27,1065
-1.65028446610827,"a","MCMC","None",10,27,1065
-Inf,"d","MCMC","None",10,27,1065
-1.31464783200978,"a","VB-Offline","None",10,28,1065
-2.86427619129888,"d","VB-Offline","None",10,28,1065
-1.31464783200978,"a","VB-Stream","None",10,28,1065
-2.86427619129888,"d","VB-Stream","None",10,28,1065
-3.55412478972064,"a","MCMC","None",10,28,1065
-Inf,"d","MCMC","None",10,28,1065
